Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS_Data,Chrome 86.0.4240.75,,,2020-10-13 16:34:39,2020-10-13 16:36:27,1m - 48.154s,FAILED
,,,,,,,
Test Cases/data_driven/TC_data2,Chrome 86.0.4240.75,,,2020-10-13 16:34:40,2020-10-13 16:35:35,54.899s,FAILED
"openBrowser("""")",Chrome 86.0.4240.75,,,2020-10-13 16:34:41,2020-10-13 16:34:50,8.839s,PASSED
"navigateToUrl(""https://katalon-demo-cura.herokuapp.com/"")",Chrome 86.0.4240.75,,,2020-10-13 16:34:50,2020-10-13 16:34:54,4.492s,PASSED
"click(findTestObject(""Object Repository/Page_CURA Healthcare Service/a_Make Appointment""))",Chrome 86.0.4240.75,,,2020-10-13 16:34:54,2020-10-13 16:34:56,1.250s,PASSED
"for ([rowNum = 1, rowNum <= findTestData(""data2"").getRowNumbers(), (rowNum++)])",Chrome 86.0.4240.75,,,2020-10-13 16:34:56,2020-10-13 16:35:35,39.495s,FAILED
,,,,,,,
Test Cases/data_driven/TC_data2,Chrome 86.0.4240.75,,,2020-10-13 16:35:35,2020-10-13 16:36:27,52.092s,FAILED
"openBrowser("""")",Chrome 86.0.4240.75,,,2020-10-13 16:35:35,2020-10-13 16:35:43,7.761s,PASSED
"navigateToUrl(""https://katalon-demo-cura.herokuapp.com/"")",Chrome 86.0.4240.75,,,2020-10-13 16:35:43,2020-10-13 16:35:48,5.356s,PASSED
"click(findTestObject(""Object Repository/Page_CURA Healthcare Service/a_Make Appointment""))",Chrome 86.0.4240.75,,,2020-10-13 16:35:48,2020-10-13 16:35:49,1.055s,PASSED
"for ([rowNum = 1, rowNum <= findTestData(""data2"").getRowNumbers(), (rowNum++)])",Chrome 86.0.4240.75,,,2020-10-13 16:35:49,2020-10-13 16:36:27,37.806s,FAILED
